kernel,m,density,nnz,gflops,ai_flop_per_byte,ceiling_gflops,pct_fp32_peak,pct_roofline,eff_dram_bw_gbs,pct_dram_bw,bound,B_fits_L2
baseline,1024,,52260,205.7,10.620720095644401,3398.6304306062084,2.527027027027027,6.052438009957723,19.3645810914681,6.051431591083782,memory,True
memopt,1024,,52260,165.35,10.620720095644401,3398.6304306062084,2.0313267813267815,4.865195065369517,15.570655129789865,4.865829728059333,memory,True
memopt_v2,1024,,52260,165.35,10.620720095644401,3398.6304306062084,2.0313267813267815,4.865195065369517,15.570655129789865,4.865829728059333,memory,True
tiled,1024,,52260,272.72,10.620720095644401,3398.6304306062084,3.3503685503685507,8.02440881903583,25.68126401630989,8.02539500509684,memory,True
tiled_v2,1024,,52260,276.6,10.620720095644401,3398.6304306062084,3.3980343980343983,8.138572452864883,26.053071354705274,8.141584798345399,memory,True
tiled_v3,1024,,52260,283.93,10.620720095644401,3398.6304306062084,3.488083538083538,8.354247565227498,26.744501061571125,8.357656581740976,memory,True
tiled_v4,1024,,52260,277.98,10.620720095644401,3398.6304306062084,3.414987714987715,8.179177044278308,26.16128764278297,8.175402388369678,memory,True
wmma,1024,,52260,122.55,10.620720095644401,3398.6304306062084,1.5055282555282554,3.605864259213996,11.540687127805771,3.606464727439304,memory,True
baseline,1024,,10388,174.77,2.4348851560826166,779.1632499464373,2.147051597051597,22.43047269131525,71.85381578947369,22.454317434210527,memory,True
memopt,1024,,10388,145.16,2.4348851560826166,779.1632499464373,1.7832923832923833,18.63024212319804,59.68185792349727,18.650580601092898,memory,True
memopt_v2,1024,,10388,145.54,2.4348851560826166,779.1632499464373,1.787960687960688,18.679012390536254,59.8453698630137,18.701678082191783,memory,True
tiled,1024,,10388,200.01,2.4348851560826166,779.1632499464373,2.457125307125307,25.669845185042988,82.11864661654135,25.662077067669173,memory,True
tiled_v2,1024,,10388,230.52,2.4348851560826166,779.1632499464373,2.831941031941032,29.585584281066495,94.5608658008658,29.55027056277056,memory,True
tiled_v3,1024,,10388,204.69,2.4348851560826166,779.1632499464373,2.5146191646191647,26.27048953015574,84.01369230769231,26.254278846153845,memory,True
tiled_v4,1024,,10388,182.85,2.4348851560826166,779.1632499464373,2.2463144963144965,23.46748258629624,75.06378006872852,23.457431271477663,memory,True
wmma,1024,,10388,29.16,2.4348851560826166,779.1632499464373,0.35823095823095824,3.7424763041640596,11.97563596491228,3.7423862390350875,memory,True
baseline,1024,,1044,29.25,0.2533783591612454,81.08107493159852,0.3593366093366093,36.075002736058735,115.27890710382513,36.02465846994535,memory,True
memopt,1024,,1044,32.56,0.2533783591612454,81.08107493159852,0.4,40.15733637901102,128.63439024390243,40.19824695121951,memory,True
memopt_v2,1024,,1044,32.56,0.2533783591612454,81.08107493159852,0.4,40.15733637901102,128.63439024390243,40.19824695121951,memory,True
tiled,1024,,1044,40.06,0.2533783591612454,81.08107493159852,0.4921375921375921,49.407337080564545,158.61684210526315,49.56776315789473,memory,True
tiled_v2,1024,,1044,52.2,0.2533783591612454,81.08107493159852,0.6412776412776413,64.38000488281251,206.82392156862744,64.63247549019607,memory,True
tiled_v3,1024,,1044,50.16,0.2533783591612454,81.08107493159852,0.6162162162162163,61.864004691989955,197.1592523364486,61.612266355140186,memory,True
tiled_v4,1024,,1044,49.13,0.2533783591612454,81.08107493159852,0.6035626535626536,60.59367126230994,193.5416513761468,60.481766055045874,memory,True
wmma,1024,,1044,9.87,0.2533783591612454,81.08107493159852,0.12125307125307123,12.173000923244434,38.99452865064695,12.185790203327171,memory,True
baseline,4096,,839236,239.32,28.42067126118568,8140.0,2.94004914004914,2.94004914004914,8.420900077977052,2.6315312743678287,compute/L2,True
memopt,4096,,839236,235.34,28.42067126118568,8140.0,2.8911547911547912,2.8911547911547912,8.28023659565146,2.587573936141081,compute/L2,True
memopt_v2,4096,,839236,288.59,28.42067126118568,8140.0,3.545331695331695,3.545331695331695,10.154398549264558,3.1732495466451747,compute/L2,True
tiled,4096,,839236,395.87,28.42067126118568,8140.0,4.8632678132678135,4.8632678132678135,13.929320066334991,4.352912520729685,compute/L2,True
tiled_v2,4096,,839236,438.66,28.42067126118568,8140.0,5.388943488943489,5.388943488943489,15.433732135565537,4.8230412923642305,compute/L2,True
tiled_v3,4096,,839236,427.9,28.42067126118568,8140.0,5.256756756756757,5.256756756756757,15.055650268870743,4.7048907090221075,compute/L2,True
tiled_v4,4096,,839236,398.66,28.42067126118568,8140.0,4.897542997542997,4.897542997542997,14.027541287808498,4.383606652440156,compute/L2,True
wmma,4096,,839236,203.29,28.42067126118568,8140.0,2.4974201474201476,2.4974201474201476,7.153143451930355,2.2353573287282362,compute/L2,True
baseline,4096,,167686,443.1,8.808841424251042,2818.8292557603336,5.443488943488943,15.719291939890164,50.29145510835913,15.71607972136223,memory,True
memopt,4096,,167686,450.77,8.808841424251042,2818.8292557603336,5.537714987714987,15.991390719350687,51.16264566929134,15.988326771653542,memory,True
